input,output
"After a very bad experience with an Asus N10Jh-A1 and due to Asus having a good reputation for laptops- a second unit was tried, the N61Jq-X1 (A1 is same except for having 2 year warranty).  Amazon has changed it's ad for this laptop since our company purchased this unit, as it does not have the TV grade, additional amplifier and cone speakers etc, which was advertised.  Asus website still has these features listed, including a really nice video touting their laptop.  Simply doesn't exist on N61Jq units.

Turned the laptop on for the first time, providing name /date/time, password and reached the create the System Restore DVD's (four required)part of setup. Inserted first new DVD disc and a half hour later, this laptop Blue Screened, BSOD, on SETUP.  When finally back at the point of doing the Restore discs for second time, the second attempt to do Disc #1, few minutes later another error box and BSOD again.  This is going well. Now on third attempt to do Disc #1 which started at 26% ?? and later, FOUR hours later, the four dvd backup discs are finished.  Don't expect I could trust these discs to Restore anything.  Day Two: ASUS was sent all the technical stuff (codes and information beyond my technical expertise, hoping only to provide Asus with information to fix the problem, OR be able to find out it's not repairable, information easily found using Windows 7 which I believe is the best thing Microsoft has done in some time and gasp! might even be better than XP.  Four separate emails and tech numbers from Asus later, the Asus techs are still talking about SRS drivers and issues nothing to do with BSOD.  Since initial setup, the unit in the past three weeks BSOD two more times while watching two movies from internet.  Interesting only for having nothing to do with DVD drive in unit.  The N61Jq-X1 as of yesterday is on it's way back to Amazon.  Going to purchase a Sony VPC-F111FX/H  or if Amazon takes forty days to credit the N61 like they did the N10, will order one directly from Sony.
<Note, clarify previous remark: Amazon is normally very good at returns and taking care of customers problems, and Amazon is a vendor our company will pay a  little more to buy from Amazon due to this customer service.  Everyone will have a bad day, so I wanted to be fair and temper the remark made here with additional facts.  In the big universe of vendors wanting your money, you'd be hard pressed to find a company doing better by their customers than Amazon.  Dillon Precision is one, they're out there, but the bar is up high.>

It is likely in the universe of all the laptops which Asus produces that a couple of 'lemons' will come from their factory.  Have two big issues with ASUS,  First is their Tech Service from two different laptop, our experiences with ASUS Tech department in the past six months is deplorable.  Second, I have a real BIG problem when a manufacturer touts features and hardware that is NOT actually in the laptop.  Go to Asus home website  asutech or [...],, go to Products, to Laptops, Multimedia units, then click on N61, then click on N61Jq  or any N61J  code,, look at the Sound System you should have,  Watch Asus video...THE SOUND SYSTEM, SPEAKERS/AMPLIFIER ETC. JUST ISN'T THERE.  AMAZON IS CURRENTLY CHANGING SEVERAL WEBSITES ADS SINCE THE INFORMATION ASUS FURNISHED THEM WAS WRONG.  INDEFENSIBLE TO SELL A PRODUCT WHICH FALSELY DESCRIBES THE HARDWARE THE CUSTOMER IS EXPECTING TO RECEIVE FOR HIS MONEY.

Just wanted to balance out the rave reviews,, I'm sure Asus does make some good units,  the free information is always worth what it costs you.  davzway/  TSRW INC","['bad experience asus jh asus', 'good reputation laptops', 'year warranty amazon', 'laptop company purchase unit tv grade', 'additional amplifier cone speaker etc advertise asus website', 'nice video tout laptop', 'jq unit', 'laptop time', 'date time password', 'system restore dvd', 'part setup insert', 'new dvd disc', 'bsod setup', 'point restore disc', 'attempt disc minute', 'error box bsod', 'attempt disc', 'dvd backup disc finish', 'trust disc restore day asus', 'technical stuff code information', 'technical expertise hope', 'asus information fix problem', 'repairable information', 'good thing microsoft time gasp', 'separate email tech number asus', 'asus tech talk srs driver issue bsod', 'initial setup unit past week bsod time', 'movie internet', 'dvd drive unit jq', 'way amazon', 'purchase sony vpc fx amazon', 'day credit', 'sony note clarify', 'previous remark amazon', 'good return', 'care customer problem amazon vendor company pay', 'amazon customer service', 'bad day', 'fair temper remark', 'additional fact', 'big universe vendor', 'hard press', 'customer amazon dillon precision', 'high likely universe laptop asus', 'couple lemon', 'big issue asus tech service', 'different laptop experience asus tech department past month', 'real big problem manufacturer tout', 'laptop asus home website asutech product laptops multimedia unit click click jq code look', 'sound system', 'asus video', 'sound system speakers amplifier etc isn amazon', 'website ads information asus', 'wrong indefensible', 'hardware customer', 'balance rave review', 'sure asus', 'good unit', 'free information', 'worth cost davzway tsrw inc']"
"I bought this computer as a replacement for a Macbook with a 2.0 Ghz Core Duo, which was really starting to show its age. Boy did I get my money's worth.

Pros:
-Chiclet keyboard, my preferred keyboard style.
-i7 processor. I can run everything my heart desires and this computer doesn't skip a beat.
-Radeon 5730. I finally got a chance to play Portal on a computer (my Macbook wouldn't even run it). Nearly every setting is maxed out on the recommended settings, and those that aren't maxed out are only a notch down. Same with Left 4 Dead 2. This is quite an experience for someone who is used to console gaming.
-Wireless is 802.11n and my laptop DOES have Bluetooth support. I picked my computer up when it jumped from $909 to $958, under the assumption that this model still didn't have Bluetooth, only to discover that I DO in fact have it. Perhaps that's why the bumped the price.
-USB 3.0 port. I use it for my wireless mouse receiver right now, but it's nice to have a bit of future proofing here. I'll have USB 3.0 when devices start to use it.
-Touchpad. I really like the touchpad on this laptop (I have an Asus netbook that has a similar pad). I turn off all functionality beyond 1 tap clicking, 2 finger scrolling, and 2 finger left click. Works great.
-Dedicated volume buttons! About an inch above the F# keys, there are mute, volume down, and volume up buttons. They're a nice addition, I'd rather have them than have to use Fn + F10/11/12.
-Number pad. Totally irrelevant to me, but probably useful to some folks. Might as well toss them in there, since the screen is so big.
-Speaking of, THE SCREEN! It's gorgeous. I did some tinkering with it, at default settings the screen is a bit washed out, but the Win7 display calibrator got the job done, and everything looks right now.
-All sorts of ports. Built in SD card slot, E-Sata, hdmi out, vga out, and two more USB 2.0 ports. More than enough for me!
-The inner body is rubberized! Very nice to touch and rest my wrists on while typing. A really nice touch, in my opinion.
-The speakers are actually quite decent. I rarely feel the desire to put on headphones while playing a game or watching something, the speakers can easily fill a small to medium sized room with a fan in the background. They beat the crap out of the wimpy speakers in my Macbook.

Cons:
-Bloatware! I deleted a ton of stuff right off the bat, and I feel like I have more to delete. I had over 30 GB of space taken up on my HDD before I even used the laptop!
-While playing a game like L4D2 or Portal, the fan on the left side of the laptop is an absolute heat wave. I had a bottle of Axe sitting next to the fan the first time I loaded up Portal, and after around a half hour of sitting in the fan's jetstream, the can was nearly scalding. I can deal with it (and to be honest, the heat could be worse considering the punch that this laptop packs), but just be aware of it. I no longer have anything sitting to the left of this laptop on my desk.
-Battery life. Again, to be expected, but at max settings, Win7 tells me to expect between an hour and a half to two hours at full charge. I don't exactly travel with this though, so I'm over it.
-Initial drive partitions. I have no idea why Asus likes to partition its laptop/netbook HDDs right off the bat, but they did the same thing with my netbook and now this laptop too. The C drive was set to 75 GB and the other drive was 200 something GB. I just merged the partitions back together with the built in Win7 tools, and now I'm back to one partition.

I had my eye on desktop replacement laptops for about two months before I finally felt ok to pull the trigger on this one, and I don't regret my decision one bit. The only thing missing from this computer is a Blu Ray drive, but I felt that I wouldn't really use it much (I have a PS3). This laptop is every bit as good spec-wise as every other laptop in my price range (1000-1300), and it's sub $1000! I can't find a deal breaker here. If you have the money and want a reasonably priced desktop replacement laptop, this one should be near the top of your list.","['computer replacement macbook ghz core duo', 'age boy money', 'worth pro chiclet keyboard', 'keyboard style processor run heart desire computer', 'chance play portal computer macbook run', 'setting maxe', 'setting maxe notch', 'dead experience console', 'wireless laptop bluetooth support', 'assumption model bluetooth', 'fact bump price usb port use wireless mouse receiver', 'nice bit', 'future proof usb device', 'touchpad laptop asus netbook', 'functionality tap', 'click work', 'great dedicate volume button inch key mute volume volume button', 'nice addition use fn number', 'useful folk', 'big speaking screen gorgeous', 'default setting screen bit', 'display calibrator', 'job look', 'sort port', 'sd card slot sata hdmi vga usb port', 'inner body rubberize', 'nice touch rest wrist type', 'nice touch opinion', 'desire headphone play game', 'small medium', 'room fan background', 'crap wimpy speaker macbook', 'con bloatware delete ton stuff', 'delete gb space', 'hdd laptop', 'portal fan', 'absolute heat wave bottle axe', 'fan time load portal', 'fan jetstream', 'honest heat', 'punch laptop pack', 'laptop desk battery life', 'max setting', 'hour charge', 'initial drive partition idea asus', 'partition laptop netbook hdds', 'right bat thing netbook laptop drive', 'gb drive gb', 'tool partition eye desktop replacement laptop month', 'ok pull trigger regret decision bit thing', 'computer blu ray drive', 'ps laptop bit good spec wise laptop price range sub', 'breaker money', 'price desktop replacement laptop']"
"I purchased this system for the dual purpose of gaming on-the-go, as well as having a mobile software development platform. As a college student, having my own system to tote around is far simpler than having to manage files on flash drives, uploading/downloading files, etc. I had been using an ASUS Eee 900 previously, but its processing power and hard drive space were quickly becoming limiting factors. I upgraded to this system at the beginning of October and have been very pleased. Being able to game between classes has been a plus as well.

Those who obsess over playing games at the highest resolution with all settings at Ultra will be disappointed, but those people should know better than to be looking in this price range anyways. If you want to game with good framerates at something better than the lowest settings, you'll be pleased with this system. Running WoW, Starcraft II, TF2, BFBC2, and Mass Effect 2 at 1366*768 resolution with medium-to-high settings all produce capped framerates in normal situations and minimal framerate drops in more intense situations.

Other notes in a few quick bullet points:
PROS:
- i7. They're so far ahead of anything else out there right now, buying anything that isn't an i3 or above seems almost like a waste of money.
- Save for the lights on either side, fairly non-flashy case. Some might want the looks of the ASUS G-series. I like this as it's less of a target to be stolen and has a more professional look for use in the workplace.
- Palm rests below the keyboard are rubberized. No more leaving palm imprints in cheap, coated plastic.
- Numpad. Priceless when working in Excel during accounting courses. 0 key is slightly smaller to make room for the arrow keys, but you get used to it.
- Does a very good job of keeping the system cool. The bottom of the case on the right side stays completely cool. The left side is slightly warm to the touch, but certainly still cool enough to place on your lap without it becoming uncomfortable. However, be aware of where you sit. If there's someone sitting to your left with their own computer, their mouse hand will get extremely hot as that is where your exhaust vent is.

CONS:
- Max screen resolution of 1366*768. Not an overly big deal for most productivity applications, but fonts can sometimes get squished in games.
- Battery life. Don't expect to be gaming for hours without a power source nearby. Using the power options, turning down screen brightness, shutting off WiFi, and only running essential apps, I can get it to last through 2 hour lectures, but that's pushing it. Playing games unplugged will give you lower framerates than when on AC power, and will drain your battery dry in a matter of 30-40 minutes.
- The two lights on the side. They're bright in a dark room, and they blink when the computer is put to sleep. If you're going to be keeping this in a bedroom, plan to shut it down at night.
- Touchpad is just barely in position to be in contact with your left palm at homerow position. Non-issue for me, personally, since I shut off the touchpad and plug in a mouse. The Elantech software has a feature to detect and ignore input when it's your palm, but seems to need configuring and I haven't done so due to using a mouse.
- Bloatware. You're not gonna find a computer from a manufacturer these days without it, though, so this is no surprise. ASUS's software tends to be more in the ""I don't need it"""" category than the """"I don't want it","['purchase system dual purpose', 'mobile software development platform college student', 'system tote', 'manage file flash drive upload download file etc asus eee', 'processing power', 'hard drive space', 'factor upgrade system', 'able game class', 'game high resolution setting ultra disappoint people', 'price range anyways', 'game good framerate', 'low setting', 'system run wow starcraft ii tf bfbc mass effect resolution medium high setting', 'cap framerate', 'normal situation minimal framerate drop', 'intense situation note', 'quick bullet point pros', 'waste money', 'flashy case', 'asus series', 'professional look use workplace palm rest keyboard rubberize', 'palm imprint', 'plastic numpad priceless work excel', 'course key', 'small room arrow key good job', 'cool case', 'warm touch', 'cool place lap', 'computer mouse hand', 'hot exhaust vent cons max screen resolution', 'productivity application font squish game battery life', 'game hour power source', 'nearby power option', 'screen brightness shut wifi run', 'essential app hour lecture', 'low framerate ac power drain battery dry matter minute', 'light bright dark room blink computer sleep', 'bedroom plan shut night touchpad', 'position contact', 'palm homerow position non issue', 'shut touchpad plug mouse elantech software', 'detect ignore input palm need', 'mouse bloatware', 'computer manufacturer day surprise asus software', 'need category']"
"Pros:
-very light and portable
-very quiet (fans automatically adjust depending on system temp)
-good set of speakers in it (they get pretty loud and still maintain clear sound
-multi-touch track pad works well
-facial recognition works well
-HDMI out is amazing, I use it to connect to my tv
-the screen is very clear and there are shortcut keys on the keyboard to adjust the brightness
-laptop is fast with the Intel i5, 4gb of RAM, and the HD 5470
-battery life is around 3.5 hours which is pretty good considering the hardware you are running off a 6-cell battery
-keyboard has plenty of shortcut keys (volume, brightness, media controls, wifi toggle, HMDI toggle, camera, battery mode)
-comes with a 2 year warranty and a 1 year accidental warranty

Cons:
-microphone isn't very good
-keyboard has a little too much flex (it takes time to get used to, doesn't really seem to bother me that much anymore)
-disk drive is tray style, slot style would be much better
-only one audio port which means you need an external sound card in order to use 5.1 surround sound speakers

Overall its a very good laptop with a few minor flaws. For the price you cannot beat it, I tried building a similar laptop with Dell and Lenovo and both came out to around $1000. This laptop is great if you need a portable laptop that is also large enough to be used as a desktop replacement. It has a lot of great features packed into it and I would definitely recommend this laptop.","['quiet fan', 'system temp good', 'clear sound multi touch track', 'work facial recognition work hdmi', 'amazing use', 'clear shortcut key keyboard', 'brightness laptop', 'fast intel gb ram hd battery life hour', 'hardware run cell battery keyboard plenty shortcut key volume brightness medium control wifi toggle hmdi toggle camera battery mode', 'year warranty year accidental warranty', 'con microphone good keyboard', 'time bother', 'disk drive tray style slot style', 'audio port', 'need external', 'sound card order use surround', 'sound speaker overall good laptop', 'minor flaw price', 'similar laptop dell lenovo', 'great need', 'portable laptop', 'large desktop replacement lot']"
"Asus K42jr-a1 Review

Quick Synopsis:  After putting a little time into it, its a quick, peppy system that can play movies and handle most games.  As long as you aren't an extreme gamer, this system will work for you.

The Asus K42jr-a1 runs very smooth and can handle everything I have thrown at it.  I used the recovery partition to reinstall on a single partition, but I have heard of just doing a fresh install.  This also works.  As with many laptops these days, lots of bloatware, but I was aware of this, and cleaned out what I didn't want.  If you are a little weary fully deleting programs (even though you have the utility disk), just deactivate the services and stop certain programs from starting at the boot.  This will also increase your performance.

****NOTE:  When the computer was first booted, it seemed very sluggish.  At times, the cpu light was on, but it appeared nothing was happening.  Task Manager showed no CPU activity.  After a couple minutes, the computer would resume what it was working on.  But, this freezing, or sluggish activity would occur every 5 minutes or so. After some research, I found this obscure, but simple solution.  From (...)

""Start","['asus jr review', 'quick synopsis', 'quick peppy system play movie', 'long extreme gamer system work asus jr run', 'recovery partition reinstall single partition', 'fresh install work laptop day lot bloatware', 'delete program utility disk deactivate service', 'certain program', 'boot increase performance note computer boot sluggish time cpu', 'task manager show cpu activity couple minute computer resume work', 'sluggish activity', 'minute research', 'simple solution']"
"God help you if you should have to deal with customer service on a laptop. I purchased one of these and within 3 months was having lots of power supply/charging issues. Asus' response was to update the drivers, which were already up to date. So within 3 months of that, the computer literally fried and went up in smoke. Yes, it is under warranty, and the long warranty they offer is great. Unless you actually have to use it. It has been a full 28 days right now since Asus has been working on my laptop. I have spent hours on the phone with them trying to get a status. The concept of a supervisor doesn't exist there. They are more than happy to set the phone down for a half hour and come back later to see if you are still there. So my nearly new computer is still sitting in their repair facility almost a month later. So consider yourself warned. Take these reviews that mention the reliability and customer support to heart and save yourself the trouble and look elsewhere.

The screen is big and looks great. I will give it that much. But it means nothing when the entire machine goes up in smoke and the manufacturer doesn't even seem to know how to fix it. And no, they won't just ship a replacement.","['customer service laptop purchase month', 'lot power', 'charge issue asus response update driver date month computer', 'smoke yes warranty', 'long warranty', 'asus work laptop', 'hour phone', 'status concept supervisor', 'happy set phone', 'new computer', 'repair facility month', 'reliability customer support heart', 'trouble look screen', 'big look', 'entire machine', 'smoke manufacturer', 'ship replacement']"
"I was weary after reading some of the other reviews of this product but I have not regretted my decision to purchase it.  It may not be the right computer for everyone but if you are looking for a laptop that comes with an i7 processor there was no way to beat the price.  When I was able to get a computer that was originally $1200 for $899 I had to jump at the opportunity.  The computer is big and not for easy transportation but if you use it instead of having a desktop I highly recommend it.  I will say that if it would have been full price when I purchased it, I wouldn't have bought it but if you can pick up this computer for under $1000 you can't go wrong.  It is a very good gaming computer, not top of the line mind you but it runs games like Dragon Age and Mass Effect 2 at their highest settings.  The screen is beautiful and has a very large display.  I do agree with one negative review about the zero key on the number pad isn't full which has thrown me off on a couple of occasions but it is barely worth mentioning.
  Overall, I would buy this computer again at this price point without hesitation.","['review product regret decision purchase', 'computer look laptop', 'processor way', 'able computer', 'opportunity computer', 'big easy transportation use', 'price purchase', 'computer line mind run game', 'dragon age mass effect high setting screen', 'beautiful large display', 'negative review zero key number', 'couple occasion', 'computer price point hesitation']"
"It has everything...got it stolen from my home but while i had it, It was amazing. Ran Crysis...ran Dragon Age Origins ran oblivion. Everything was good on this thing but the speakers did get a little fritzy if it was too loud. Gets hot a little. THIS THING HAS A WEIRD THING WHERE THE CPU LOOKS LIKE IT ISNT ENOUGH but it lies...it adds to it with something else...ITS HUGE so dont think its going with you to the park. It has a huge range for wifi. It has a little problem with the usb...its right where you would have the mouse...yeah...but over then that. THIS IS THE BEST COMPUTER I HAVE EVER HAD. try to find a laptop case in stores before you buy one online to make sure that they fit...it is long. screen was awesome graphics were awesome. . . nothing more to say about it really. It was flashy, expensive, and beautiful...curse you who rob others i would have enjoyed this if i got to keep it past three months.

EDITED: I bought the same computer with the insurance...and just one quick thing BUY LOJACK FOR LAPTOPS OR SOME KIND OF retrieving software. This computer a year has never caused me a problem. It boots up perfectly. One thing I noticed though and there is no other way but to do it manually, the things downloaded automatically save to the operating system...manually save them to the hard drive or you will be annoyed by the OS saying it is full after only a few gigs. Does get quite hot on one side so dont put anything on the left side of it other then the wires.","['dragon age origins', 'oblivion good thing speaker', 'hot little thing weird thing cpu look', 'isnt lie', 'huge range wifi', 'problem usb', 'mouse yeah', 'laptop case store', 'screen awesome graphic awesome', 'flashy expensive beautiful curse rob', 'past month edit', 'computer insurance', 'quick thing', 'lojack laptop kind retrieve software computer year', 'problem boot', 'thing notice way', 'thing download', 'drive annoy os']"
"The reviews prior to this one say what a great laptop this is but that it lacked a Blu-Ray player.  The description must have been off when most people first ordered this, and I would be upset if I had thought I was getting blu-ray player, but didn't.  That being said, and I knew what I was getting.  Let me be clear; this is an AMAZING value for what you're getting...even without Blu-Ray.  Think about it; you're getting an Intel Core i7 laptop, with a 1GB ATI discrete graphics card, 17 inch, high def screen, and a 500GB hard-drive...oh and 4GB of Kingston RAM...all for under $1200 (as of this writing)?  Are you kidding me?

I love this laptop, and I was a lifelong HP guy, until my screen died after 2 years of use...the build quality on this is incredible, the screen is beautiful, and as for Blu-Ray...meh.  Everything's going disc-less digital anyway.  A few years from now, and everything will be download only anyway.

Don't let the other reviews fool you, this is THE value in laptops, from one of the most well-decorated manufacturers of the last few years.  Check out some sites on the net, do your research, and I'm sure you'll come to the same conclusion I did...this is the laptop to own.

Good luck and happy hunting.

ADDITIONAL INFO (Posted 3/22/2010) after using this laptop for the past few days, I can safely say that this was a great bargain.  It's faster and more responsive than my previous HP that cost 3x as much.  Also, it came with DDR3 1333 RAM instead of the advertised 1066.  Nice little bonus.  Point being, if you buy this laptop, I doubt you'd ever regret it.","['great laptop lack blu ray player description people order upset', 'blu ray player', 'clear amazing value', 'blu ray', 'intel core laptop gb ati discrete graphic card inch high def screen gb', 'hard drive oh gb kingston ram', 'laptop lifelong hp guy screen', 'year use', 'incredible screen', 'beautiful blu ray meh', 'disc digital year download', 'review fool value laptop', 'manufacturer year check site net research', 'conclusion laptop good luck', 'additional info post laptop past day', 'great bargain', 'fast responsive', 'previous hp cost', 'ddr ram', 'nice little bonus', 'laptop doubt regret']"
"I purchased this laptop after unknowingly buying a stolen Dell Latitude 830 from Craig's List.  Thanks to Dell's Lojack service, the police came to my house with a search warrant and confiscated the Latitude after I would not return the detective's phone calls.  (I wonder why they didn't find the Latitude from the guy who sold it to me??) Anyway, if you own a Dell, the Lojack service does work.  After this experience, do you think I would buy another Dell?  -NOT ON YOUR LIFE.  The police treated me like a common criminal, indicated that they thought I stole the laptop, and trashed my house. The 5 police officers who raided my home were not interested in helping me recover the $$$ I paid for the 830.

At any rate, I decided it was time to bite the bullet and buy new, unstolen, and get a warranty.  After researching Tom's Hardware, Newegg, Amazon, Laptop review and others I settled on Asus with the i7 processor.  I intended to buy the N61 and save $100, but finally decided the 17"" screen was worth the extra money.  The Egg people still had the N71 when I ordered","['purchase laptop', 'dell latitude craig list', 'dell lojack service police', 'house search warrant confiscate latitude return detective phone', 'latitude guy', 'dell lojack service work experience', 'life police', 'common criminal', 'laptop trash house police officer raid home', 'new unstolen warranty research tom hardware newegg amazon laptop review', 'asus processor', 'worth extra money egg people order']"
"Honestly, I thought It would be the best possible deal I could make. Best config available when I bought with a awesome price.
After the first month I've realized it can't be used as a laptop. Seriously, I got my lap literally burned. It is extremely hot.
I've treated it as my personal treasure, since I got it after saving for a LONG LONG time and after 1 months after warranty experied it went dead.
Can you guys imagine how frustrating this can be? I'm on the last semester of a engineering school and I rely on my computer for pretty much everything. I have to write an article or else I can't graduate.
The best part is, since I don't live in the USA, I relative of mine took it here to Brazil and one of the features that led me to buy it was its 1 year international warranty. They do have technical support in Brazil, but it's only in one place which is over 2 thousand miles aways from here.
Now, I'm stucked with this piece of garbage, I can't afford another notebook, and they think I'm a stupid third world country costumer.
I promise you guys I'm gonna be posting lots of videos on how bad this ASUS is.

Advice? I would get something else.","['good config', 'awesome price month', 'personal treasure', 'long time month warranty experie', 'dead guy', 'frustrating semester engineering school', 'article graduate good', 'international warranty', 'technical support brazil place', 'stucke piece garbage', 'stupid world country costumer', 'post lot video', 'bad asus advice']"
"The HDMI port was loose and could not maintain a connection with my HDTV.  (Yes, I did try other cables, all of which worked with other components.)  I mean the port itself wiggled a bit---not the cable in the port.  Typing anything or just touching the touchpad knocked out the connection to the TV.

If you look at how the port is placed, jammed under the ExpressCard slot, you will see that such a problem is not surprising.  I didn't think about it before buying, though I did see a photo showing the layout.

Also, prospective buyers should note that, despite the ATI 5730's abilities, this laptop does not output 1080p to a TV---even with the latest ATI driver update.

I only had the computer about 36 hours, but I always test as much as I can as soon as I can.  In most other aspects, I'd give this computer high ratings.  The only longterm worry would be heat management, as there doesn't seem to be a lot of venting space for such a hot CPU.  Reading reviews, I always though people were joking about keeping coffee warm by placing a cup next to the exhaust vent.  Really works with this unit!

The keyboard is spongy in the center.

Now for the good:

One reviewer complained about the glare.  Personally, I think it is less of a problem than on many units.  Mine came with a protective sheet of what was either real glass or extremely hard plexiglass over the LCD screen, something that adds strength to the display and upper part of the unit.  I liked it a lot.

Sound is very, very good.  This includes the built in microphone!  I actually got the Windows 7 Speech Recognition to work pretty well in just a couple of hours.

The webcam is ok with color and clarity.  In very bright light the typical built-in webcam lag is not too bad.

Battery life was almost three hours, which is amazing considering the battery only has six cells and powers a quad-core.

The keypad is an Elan, and it was smooth, precise, and responsive.

Fast Seagate HDD.  Atheros wireless that worked very well in public and with my own wireless router.

The recovery disk creation process was as smooth as any I've seen, taking about two hours and requiring five blank DVD's.

I thought this was going to be my baby for the next five or six years.  The bad HDMI port, which, true, could happen on any machine, seemed as much a result of engineering as assembly problems, so I'm going to get something else.  The other reason I won't get this one again is it only outputs up to 720p to an HDTV.  Much cheaper laptops with ATI GPU's do put out the full 1080p.

The spongy keyboard was disappointing also.

I've had an Asus laptop for seven years; it has been very reliable, so I will very likely stick with this brand---but I'll look harder at how the ports are arranged.","['hdmi port', 'connection hdtv yes', 'cable work component', 'port wiggle bit cable port type touch touchpad knock connection tv look port place jam expresscard slot problem', 'buying photo show layout', 'prospective buyer note', 'ati ability laptop output tv', 'late ati driver update computer hour test', 'aspect computer high', 'heat management lot', 'hot cpu', 'review people joke', 'warm place cup exhaust vent work unit keyboard', 'spongy center good reviewer complain glare', 'problem unit', 'protective sheet', 'real glass', 'hard plexiglass lcd screen', 'strength display', 'upper unit', 'windows speech recognition work', 'pretty couple hour webcam ok color clarity', 'bright light', 'bad battery life hour', 'battery cell power quad core keypad elan', 'smooth precise responsive', 'fast seagate hdd atheros wireless work', 'public wireless router recovery disk creation process', 'blank dvd', 'baby year', 'bad hdmi port', 'machine result engineering assembly problem', 'output hdtv', 'cheap laptop ati gpu', 'spongy keyboard', 'disappointing asus laptop', 'brand look', 'hard port']"
"I have had this laptop for several months now, and I must say I love it. It took me a long time to even consider buying a laptop since they simply do not have the capacity of desktop computers. However, after owning this ASUS K52 I have become a believer. The layout is great, the design is sleek, and the performance is above my expectations.

Layout and Design: The layout of the laptop is great. The keyboard design is large and spacious enough that my fat fingers do not make the typos I typically make on other, smaller, designs. It also has a full numpad, which is a feature I truly hate not having available. The screen size is plenty big enough to browse the internet, write papers, and/or play games with ease. It is also a sleek and cosmetically pleasing design with rounded edges and corners.

Performance: Now on to the most important aspect of any computer, its performance. I have been able to run any game I have desired to play (Oblivion, Fallout 3, Star Wars The Old Republic) on medium to high settings without much in the way of slow down and frame rate issues. I haven't had any problems with the hardware malfunctioning through all the use I put this thing through. It boots fast, and it plays fast. I also use this computer for all of my many school papers, payments online, and pretty much everything you can use a computer for these days. It has never failed me and continues to perform today as it did the first day I received it.

Conclusion: Overall, it's a great piece of machinery. I love it. It serves all of the purposes I have had for it. There are more pricey laptops out there with a bit more power under the hood, but I have found this one to have plenty to run all the games I love and to quickly and reliably completely all the other tasks I have had for it.","['laptop month', 'capacity desktop computer', 'own asus believer layout', 'great design sleek performance expectation layout design layout laptop', 'great keyboard design', 'large spacious fat finger typo', 'small design numpad', 'available screen size plenty', 'big browse internet', 'edge corner performance', 'important aspect computer performance', 'able run game desire play oblivion fallout star wars', 'old republic medium high setting way', 'slow frame rate issue problem hardware malfunction use thing boot', 'fast play', 'fast use computer school paper payment online', 'pretty use computer day', 'conclusion overall', 'great piece machinery', 'purpose pricey laptop bit power hood', 'plenty run game']"
"I have had this product for two years now. In fact, my two year warranty ran out four days ago. However, I am having hardware failures for the third time since my purchase.

I work in IT and take very good care of this notebook. It never leaves my desk unless I am travelling and I am careful to keep the notebook safe while travelling. I keep my computer free of viruses and malware and regularly clean it with CCleaner and a disk defrag. However, one year after my purchase my hard drive was the first piece of hardware to fail me. I sent in my notebook and two weeks later received my notebook with a new HDD.

A few months ago, my notebook started failing again until it finally would not boot at all. I sent it in and again they fixed my issues and sent me back my new notebook. However, they only replaced the motherboard and the back of the laptop and did not fix the cracked casing around my screen or the dead pixels on my screen like I had requested.

Now, four days after my warranty has run out, my battery has stopped charging and my computer will not turn on unless it is plugged in. This is generally fine for me although it is an inconvenience. However, my HDD also seems to be failing as it has started making clicking noises that are a sign of it failing and documents have been taking far to long to pull up. I contacted Asus support and even though my warranty so recently ran out and I've already had to send in my notebook twice for issues that never should have happened in the first place, they refuse to provide me with service.

In short I do not recommend this notebook to anyone looking for a quality PC. The parts must be terrible quality to fail so quickly and the customer service I've received has been terrible in comparison to any other company I've ever dealt with.","['product year fact year warranty run day', 'hardware failure time purchase work good care notebook', 'desk travel', 'careful notebook', 'safe travel computer', 'free virus malware', 'clean ccleaner disk defrag year purchase', 'hard drive piece hardware', 'notebook week', 'new hdd month', 'fix issue', 'new notebook', 'motherboard laptop fix', 'dead pixel screen', 'request day warranty run battery', 'charge computer', 'inconvenience hdd', 'click noise', 'long pull contact asus support warranty', 'place refuse', 'notebook look quality pc part terrible quality', 'customer service', 'terrible comparison company']"
